sku,product_name,category_id,category_name,category_path
761962366,Батарея для ИБП EX285953RUS,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966760,Батарея для ИБП КТА 12-7 12V/7Ah,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966758,Батарея для ИБП 9162 RAPAN SB 12045,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962415,Батарея для ИБП EX297511RUS,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962416,Батарея для ИБП EX297514RUS,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966794,Батарея для ИБП CBT-HR1227W-F2,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962555,Батарея для ИБП DJW12-5.4 F2,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962391,Батарея для ИБП HML-12-9,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966755,Батарея для ИБП HML-12-7,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966821,Батарея для ИБП CBT-HR1221W-F2,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962332,Батарея для ИБП CBT-GP1272-F2,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962514,Батарея для ИБП CBT-GP1290-F2,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966808,Батарея для ИБП CBT-GP12120-F2,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962462,Батарея для ИБП CBT-GP1272-F1,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966762,Батарея для ИБП CBT-GP1250-F1,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962529,Батарея для ИБП CBT-GP1290-F1,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966761,Батарея для ИБП CBT-GP12180-L1,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962340,"Батарея для ИБП SB 1212, 12В, 12Ач,",2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962368,Батарея для ИБП EX285658RUS,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962355,Батарея для ИБП GEL 12-15,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966804,Батарея для ИБП HRC hr1221,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761966800,Батарея для ИБП UPS123607,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962382,Батарея для ИБП EX299434RUS,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962354,Батарейный блок PowerExpert BX-2U3000.48V.8S9Ah для UHB-3000,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962353,Батарейный блок PowerExpert BX-2U5000.48V.8S9Ah для UHB-5000,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962352,Батарейный блок PowerExpert BX-2U5000.48V.8S7Ah для UHB-5000,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962496,Батарея для ИБП EX297518RUS,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962495,Батарея для ИБП EX297519RUS / 297519,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962379,Батарея для ИБП EX297554RUS / 297554,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962420,Батарея для ИБП EX297561RUS / 297561,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962421,Батарея для ИБП EX297558RUS / 297558,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962419,Батарея для ИБП EX297563RUS / 297563,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
761962418,Батарея для ИБП EX297564RUS / 297564,2196,Аккумуляторы для ИБП,Оргтехника/Аккумуляторы для ИБП
