sku,product_name,category_id,category_name,category_path,is_correction,confidence,correction_id
correction_1_0,Ноутбук Macbook Air 1T,0,Электроника / Компьютеры,Электроника / Компьютеры,True,0.35600000000000004,1.0
correction_3_1,"Apple MacBook Air 13.6""",0,Электроника / Компьютеры,Электроника / Компьютеры,True,0.23629999999999998,3.0
correction_7_2,"Apple MacBook Air 13"" (M4, 10C CPU/10C GPU, 2025)",0,Электроника / Компьютеры,Электроника / Компьютеры,True,0.1955,7.0
2402535436,"Вентилятор ID-Cooling NO-8025-SD (80x80x25 мv, 2000 об/мин)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402534855,"Вентилятор 220В ExeGate EX289002RUS EX08038SAT (80x80x38 мм, Sleeve bearing (подшипник скольжения), клеммы, 2400RPM, 36dBA)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535214,"Вентилятор 12В DC ExeGate ExtraPower EP06015B2P (60x60x15 мм, 2-Ball (двойной шарикоподшипник), 2pin, 5000RPM, 34dBA)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535265,"Жидкостная система охлаждения XPG Levante X 360, белый",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535697,"Кулер Alseye S120D-B Universal, TDP 135W, 2x120FAN, 4 heat pipe, PWM, RTL",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535337,"Вентилятор ExeGate EX288929RUS EX14025B4P-PWM (140x140x25 мм, двойной шарикоподшипник, 4pin, PWM, 28dBA)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535442,"Вентилятор 12В DC ExeGate EX14025S4P-PWM (140x140x25 мм, Sleeve bearing (подшипник скольжения), 4pin, PWM, 24dBA)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402534786,Кулер ID-Cooling DK-07i Soc-1700 4-pin 14-26dB Al 125W 400gr Ret,17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535584,"Вентилятор 12В DC ExeGate EX12025BM (120x120x25 мм, 2-Ball (двойной шарикоподшипник), Molex, 1550RPM, 25dBA)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535039,"Вентилятор 220В ExeGate EX289003RUS EX09225BAL (92x92x25 мм, 2-Ball (двойной шарикоподшипник), подводящий провод 30 см, 2600RPM, 35dBA)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402534879,Вентилятор RX 4010MS 24VDC,17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2409307080,"Вентилятор ExeGate ExtraPower EP12025B3P, 120x120x25 мм, двойной шарикоподшипник, 3pin, 1600RPM, 25dBA",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535804,"Решетка для вентилятора 50х50 ExeGate EG-050PSB (50х50 мм, пластиковая, квадратная, черная)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
2402535600,"Вентилятор 220В ExeGate EX289000RUS EX08038BAT (80x80x38 мм, 2-Ball (двойной шарикоподшипник), клеммы, 2500RPM, 37dBA)",17028921,Системы охлаждения для компьютеров,Электроника / Системы охлаждения для компьютеров,False,1.0,
